panel_id,metric_output_id,status,mismatch_fields,actual_ag,paper_ag,actual_acc_cross,paper_acc_cross,actual_d_ag,paper_d_ag,actual_d_acc,paper_d_acc,native_state,paper_panel_state
d2_10_b,recall,matched,,0.4369024639251238,0.4369024639251238,0.6758072916666666,0.6758072916666666,-0.15031648749205917,-0.15031648749205917,-0.11395833333333327,-0.11395833333333327,complete,complete
d2_10_a,f1,matched,,0.46081363073621845,0.46081363073621845,0.6116927083333333,0.6116927083333333,-0.30081191229959675,-0.30081191229959675,-0.17166666666666652,-0.17166666666666652,complete,complete
d2_10_b,f1,matched,,0.4257766487489219,0.4257766487489219,0.6778906249999999,0.6778906249999999,-0.1391906723158573,-0.1391906723158573,-0.11187500000000006,-0.11187500000000006,complete,complete
d2_10_a,artifact_peak_ratio,matched,,0.4518576065882411,0.4518576065882411,0.6071614583333335,0.6071614583333335,-0.2918558881516194,-0.2918558881516194,-0.1761979166666664,-0.1761979166666664,complete,complete
d2_10_b,artifact_peak_ratio,matched,,0.4265374838844232,0.4265374838844232,0.6771614583333334,0.6771614583333334,-0.1399515074513586,-0.1399515074513586,-0.1126041666666665,-0.1126041666666665,complete,complete
d2_10_a,missing_peak_ratio,matched,,0.4514596610683407,0.4514596610683407,0.6140885416666666,0.6140885416666666,-0.291457942631719,-0.291457942631719,-0.16927083333333326,-0.16927083333333326,complete,complete
d2_10_b,missing_peak_ratio,matched,,0.4369024639251238,0.4369024639251238,0.6758072916666666,0.6758072916666666,-0.15031648749205917,-0.15031648749205917,-0.11395833333333327,-0.11395833333333327,complete,complete
d2_20_a,mse,matched,,0.1696397967556941,0.1696397967556941,0.7665885416666668,0.7665885416666668,,,,,complete,complete
d2_20_b,mse,matched,,0.3709867314878044,0.3709867314878044,0.7807552083333333,0.7807552083333333,,,,,complete,complete
d2_20_a,rmse,matched,,0.16966693482986128,0.16966693482986128,0.7674739583333334,0.7674739583333334,-2.713807416718228e-05,-2.713807416718228e-05,0.0008854166666666385,0.0008854166666666385,complete,complete
d2_20_b,rmse,matched,,0.3710267787528018,0.3710267787528018,0.7804166666666666,0.7804166666666666,-4.004726499740041e-05,-4.004726499740041e-05,-0.00033854166666669183,-0.00033854166666669183,complete,complete
d2_20_a,mae,matched,,0.16246327819454195,0.16246327819454195,0.7784635416666668,0.7784635416666668,0.007176518561152145,0.007176518561152145,0.011874999999999969,0.011874999999999969,complete,complete
d2_20_b,mae,matched,,0.3746704932297833,0.3746704932297833,0.7777864583333334,0.7777864583333334,-0.003683761741978875,-0.003683761741978875,-0.0029687499999999645,-0.0029687499999999645,complete,complete
d2_20_a,sam,matched,,0.17548000366470684,0.17548000366470684,0.7648177083333334,0.7648177083333334,-0.005840206909012741,-0.005840206909012741,-0.001770833333333388,-0.001770833333333388,complete,complete
d2_20_b,sam,matched,,0.3540886411160671,0.3540886411160671,0.7786197916666667,0.7786197916666667,0.01689809037173734,0.01689809037173734,-0.002135416666666612,-0.002135416666666612,complete,complete
d2_20_a,pearson_r,matched,,0.16770650416439525,0.16770650416439525,0.7667447916666664,0.7667447916666664,0.0019332925912988463,0.0019332925912988463,0.00015624999999963585,0.00015624999999963585,complete,complete
d2_20_b,pearson_r,matched,,0.3618149010705993,0.3618149010705993,0.7770052083333333,0.7770052083333333,0.009171830417205096,0.009171830417205096,-0.003750000000000031,-0.003750000000000031,complete,complete
d2_20_a,nmse,matched,,0.14423992732624527,0.14423992732624527,0.7643749999999999,0.7643749999999999,0.02539986942944883,0.02539986942944883,-0.002213541666666874,-0.002213541666666874,complete,complete
d2_20_b,nmse,matched,,0.3550880743968808,0.3550880743968808,0.7787760416666666,0.7787760416666666,0.01589865709092364,0.01589865709092364,-0.001979166666666754,-0.001979166666666754,complete,complete
d2_20_a,wasserstein_1_cm1,matched,,0.043428461861171115,0.043428461861171115,0.8297916666666665,0.8297916666666665,0.126211334894523,0.126211334894523,0.0632031249999997,0.0632031249999997,complete,complete
d2_20_b,wasserstein_1_cm1,matched,,0.41748263282846837,0.41748263282846837,0.729140625,0.729140625,-0.04649590134066395,-0.04649590134066395,-0.05161458333333335,-0.05161458333333335,complete,complete
d2_20_a,is_like_structure_to_noise,matched,,0.41713186518626805,0.41713186518626805,0.29132812500000005,0.29132812500000005,-0.24749206843057395,-0.24749206843057395,-0.47526041666666674,-0.47526041666666674,complete,complete
d2_20_b,is_like_structure_to_noise,matched,,0.4834382041276222,0.4834382041276222,0.3804427083333333,0.3804427083333333,-0.11245147263981775,-0.11245147263981775,-0.4003125,-0.4003125,complete,complete
d2_20_a,precision,matched,,0.4467827853802707,0.4467827853802707,0.6055729166666667,0.6055729166666667,-0.27714298862457665,-0.27714298862457665,-0.1610156250000001,-0.1610156250000001,complete,complete
d2_20_b,precision,matched,,0.4264714572163512,0.4264714572163512,0.6830468749999999,0.6830468749999999,-0.05548472572854679,-0.05548472572854679,-0.0977083333333334,-0.0977083333333334,complete,complete
d2_20_a,recall,matched,,0.44654407909535354,0.44654407909535354,0.6123958333333334,0.6123958333333334,-0.27690428233965947,-0.27690428233965947,-0.15419270833333343,-0.15419270833333343,complete,complete
d2_20_b,recall,matched,,0.4423344569418659,0.4423344569418659,0.6822135416666666,0.6822135416666666,-0.07134772545406148,-0.07134772545406148,-0.09854166666666675,-0.09854166666666675,complete,complete
d2_20_a,f1,matched,,0.4546355938587237,0.4546355938587237,0.6101041666666666,0.6101041666666666,-0.2849957971030296,-0.2849957971030296,-0.15648437500000023,-0.15648437500000023,complete,complete
