panel_id,endpoint_id,protocol_id,representation,metric_output_id,group,state,oc,bootstrap_lower,bootstrap_upper,pair_count_per_cluster
d2_5_b,d2_5,b,native,precision,axis_axis,complete,0.45364583333333336,0.43671875,0.4705729166666667,64
d2_5_b,d2_5,b,native,recall,nonaxis_nonaxis,complete,0.5753472222222222,0.5354144965277777,0.6112868923611111,192
d2_5_b,d2_5,b,native,recall,mixed,complete,0.7572916666666668,0.7073763020833332,0.7972656249999999,384
d2_5_b,d2_5,b,native,recall,axis_axis,complete,0.45364583333333336,0.43671875,0.4705729166666667,64
d2_5_b,d2_5,b,native,f1,nonaxis_nonaxis,complete,0.5732638888888889,0.5331553819444445,0.6102452256944444,192
d2_5_b,d2_5,b,native,f1,mixed,complete,0.7576388888888891,0.7085047743055556,0.7974392361111111,384
d2_5_b,d2_5,b,native,f1,axis_axis,complete,0.45364583333333336,0.43671875,0.4705729166666667,64
d2_5_b,d2_5,b,native,artifact_peak_ratio,nonaxis_nonaxis,complete,0.5661458333333332,0.5263867187499999,0.6037391493055556,192
d2_5_b,d2_5,b,native,artifact_peak_ratio,mixed,complete,0.7539930555555554,0.7055967881944444,0.793537326388889,384
d2_5_b,d2_5,b,native,artifact_peak_ratio,axis_axis,complete,0.45364583333333336,0.43671875,0.4705729166666667,64
d2_5_b,d2_5,b,native,missing_peak_ratio,nonaxis_nonaxis,complete,0.5753472222222222,0.5354144965277777,0.6112868923611111,192
d2_5_b,d2_5,b,native,missing_peak_ratio,mixed,complete,0.7572916666666668,0.7073763020833332,0.7972656249999999,384
d2_5_b,d2_5,b,native,missing_peak_ratio,axis_axis,complete,0.45364583333333336,0.43671875,0.4705729166666667,64
d2_5_b,d2_5,b,common_grid,mse,nonaxis_nonaxis,complete,0.7012152777777778,0.68046875,0.72005859375,192
d2_5_b,d2_5,b,common_grid,mse,mixed,complete,0.7453125,0.7084190538194445,0.7763075086805554,384
d2_5_b,d2_5,b,common_grid,mse,axis_axis,complete,0.33046875,0.28802083333333334,0.3797005208333333,64
d2_5_b,d2_5,b,common_grid,rmse,nonaxis_nonaxis,complete,0.7036458333333335,0.6837651909722222,0.7224826388888886,192
d2_5_b,d2_5,b,common_grid,rmse,mixed,complete,0.7456597222222221,0.7087239583333335,0.7766948784722224,384
d2_5_b,d2_5,b,common_grid,rmse,axis_axis,complete,0.33046875,0.28802083333333334,0.3797005208333333,64
d2_5_b,d2_5,b,common_grid,mae,nonaxis_nonaxis,complete,0.6904513888888888,0.6706575520833332,0.7083355034722223,192
d2_5_b,d2_5,b,common_grid,mae,mixed,complete,0.7553819444444445,0.7147960069444446,0.789150390625,384
d2_5_b,d2_5,b,common_grid,mae,axis_axis,complete,0.31171875,0.2632682291666667,0.3684960937499999,64
